,time,total
49336,2001-06-01,11227.609755757221
49337,2001-07-01,6538.504261568992
49338,2001-08-01,3066.0895303019443
49339,2001-09-01,2679.9817785026075
49340,2001-10-01,2085.249126737256
49341,2001-11-01,1929.4472438045614
49342,2001-12-01,3944.088539481022
49343,2002-01-01,7462.981777081057
49344,2002-02-01,9096.804866899758
49345,2002-03-01,16903.382609457847
49346,2002-04-01,22977.315068313415
49347,2002-05-01,13792.659312006224
49348,2002-06-01,7284.994063598531
49349,2002-07-01,3473.244465341757
49350,2002-08-01,1579.873908759706
49351,2002-09-01,1348.7016255493347
49352,2002-10-01,1174.3089903403347
49353,2002-11-01,1948.1954892482195
49354,2002-12-01,3219.0522552383545
49355,2003-01-01,4911.3057159944365
49356,2003-02-01,11581.403512587585
49357,2003-03-01,15021.297917762924
49358,2003-04-01,9764.278071640756
49359,2003-05-01,9157.810019974364
49360,2003-06-01,4790.96294699979
49361,2003-07-01,2641.394826111745
49362,2003-08-01,1728.1785786350947
49363,2003-09-01,1794.1744815624397
49364,2003-10-01,1476.9955283949912
49365,2003-11-01,2009.825718536347
49366,2003-12-01,4817.462763868829
49367,2004-01-01,18155.24205242673
49368,2004-02-01,14243.688129888005
49369,2004-03-01,13930.662821911403
49370,2004-04-01,11142.29480151496
49371,2004-05-01,7144.780331125547
49372,2004-06-01,3083.77047578394
49373,2004-07-01,1233.188410322763
49374,2004-08-01,448.1479162921242
49375,2004-09-01,1281.9591900043702
49376,2004-10-01,890.5161326055927
49377,2004-11-01,829.8972955762201
49378,2004-12-01,1342.9981183410428
49379,2005-01-01,9211.472641098182
49380,2005-02-01,14204.397044698857
49381,2005-03-01,16952.439875839376
49382,2005-04-01,17265.90881957189
49383,2005-05-01,14595.285442511482
49384,2005-06-01,7238.580630162799
49385,2005-07-01,3111.592461652226
49386,2005-08-01,1632.1694395319041
49387,2005-09-01,1389.7707911042353
49388,2005-10-01,1213.8137093488829
49389,2005-11-01,2472.9381336681827
49390,2005-12-01,1466.1401317511986
49391,2006-01-01,4806.987485536554
49392,2006-02-01,8122.5139935880115
49393,2006-03-01,4816.1646210138315
49394,2006-04-01,6085.439881413753
49395,2006-05-01,7184.692589958764
49396,2006-06-01,2199.526701379771
49397,2006-07-01,863.3150168781403
49398,2006-08-01,364.2553752242645
49399,2006-09-01,574.2530659788129
49400,2006-10-01,617.0568345598618
49401,2006-11-01,663.8268835964244
49402,2006-12-01,1474.7723111145228
49403,2007-01-01,3656.437160039554
49404,2007-02-01,4014.7240063440413
49405,2007-03-01,3630.6424664799015
49406,2007-04-01,10062.54105641198
49407,2007-05-01,7959.3502789395725
49408,2007-06-01,4426.929693320354
49409,2007-07-01,1580.2062106299015
49410,2007-08-01,1122.7202379172209
49411,2007-09-01,1266.0521199417929
49412,2007-10-01,1149.032404038737
49413,2007-11-01,1121.1103893710933
49414,2007-12-01,2875.364282957258
49415,2008-01-01,2583.2774961331734
49416,2008-02-01,2806.960187702997
49417,2008-03-01,3360.9642489960825
49418,2008-04-01,5203.091102369261
49419,2008-05-01,5599.5134264451335
49420,2008-06-01,2574.346545483784
49421,2008-07-01,50.10393396124755
49422,2008-08-01,56.27074281291033
49423,2008-09-01,649.6633011823653
49424,2008-10-01,576.3195496458336
49425,2008-11-01,1199.2413779882258
49426,2008-12-01,4148.946432472076
49427,2009-01-01,8340.82094501616
49428,2009-02-01,11915.929909314984
49429,2009-03-01,15768.834345108615
49430,2009-04-01,16621.746337594854
49431,2009-05-01,16260.817249263437
49432,2009-06-01,10986.820028585364
49433,2009-07-01,6280.258046047886
49434,2009-08-01,3948.0551455025384
49435,2009-09-01,3252.96998461258
49436,2009-10-01,2362.711046466975
49437,2009-11-01,1822.3302883655633
49438,2009-12-01,2868.741784026848
