SA,NO3,PO4,depth,lat,lon
34.4743121687038,33,2.94,400,30.9,-116.75
NaN,33,2.94,401,30.9,-116.75
34.5379188903398,34.5,3.1,475,30.9,-116.75
34.5242768061157,35.9,3.14,500,30.9,-116.75
34.5018788049342,38.9,3.22,551,30.9,-116.75
33.6030439770175,NaN,0.52,0,30.066666,-118.325
33.6030446911952,NaN,0.52,1,30.066666,-118.325
33.6613252095369,NaN,0.33,10,30.066666,-118.325
33.6693654537243,NaN,0.3,11,30.066666,-118.325
33.6663732215429,NaN,0.31,20,30.066666,-118.325
NaN,NaN,0.32,30,30.066666,-118.325
33.5981588402902,0.3,0.34,40,30.066666,-118.325
33.5972604043,2,0.43,50,30.066666,-118.325
NaN,3.2,0.5,54,30.066666,-118.325
NaN,10.5,0.98,69,30.066666,-118.325
33.6006952612253,12.7,1.12,75,30.066666,-118.325
NaN,17.4,1.42,93,30.066666,-118.325
33.6153262445417,18.7,1.49,100,30.066666,-118.325
NaN,20.4,1.6,113,30.066666,-118.325
33.6390718748311,21.5,1.71,125,30.066666,-118.325
NaN,22.2,1.78,132,30.066666,-118.325
33.6698878946532,24.7,1.98,150,30.066666,-118.325
NaN,25,2,152,30.066666,-118.325
NaN,26.3,2.2,182,30.066666,-118.325
33.7514699809264,27,2.22,200,30.066666,-118.325
NaN,27.7,2.24,216,30.066666,-118.325
NaN,30,2.44,245,30.066666,-118.325
33.8520911995981,30.3,2.47,250,30.066666,-118.325
NaN,32,2.68,293,30.066666,-118.325
33.9657378679132,32.3,2.71,300,30.066666,-118.325
NaN,34.4,2.88,347,30.066666,-118.325
34.2120163584184,36.5,3.02,400,30.066666,-118.325
NaN,37.5,3.08,429,30.066666,-118.325
34.4569407981392,39.5,3.2,500,30.066666,-118.325
34.4832390445548,39.7,3.22,511,30.066666,-118.325
34.5426715373653,40.3,3.36,594,30.066666,-118.325
33.8773340354934,NaN,0.38,0,29.525,-118.016666
33.8773347555006,NaN,0.38,1,29.525,-118.016666
33.8743270584586,NaN,0.22,10,29.525,-118.016666
33.8733247860959,NaN,0.2,11,29.525,-118.016666
33.8442097996799,NaN,0.21,20,29.525,-118.016666
33.8050552048175,NaN,0.22,30,29.525,-118.016666
NaN,NaN,0.22,32,29.525,-118.016666
33.7589155811528,NaN,0.24,40,29.525,-118.016666
33.7479703256686,NaN,0.27,50,29.525,-118.016666
NaN,NaN,0.28,55,29.525,-118.016666
NaN,NaN,0.28,68,29.525,-118.016666
33.7282979254851,0.3,0.3,75,29.525,-118.016666
NaN,3,0.46,93,29.525,-118.016666
33.716807233025,5.3,0.61,100,29.525,-118.016666
NaN,10,0.9,113,29.525,-118.016666
33.7154352507529,13.3,1.07,125,29.525,-118.016666
NaN,15,1.16,132,29.525,-118.016666
33.7231423653451,19.1,1.47,150,29.525,-118.016666
NaN,19.5,1.5,152,29.525,-118.016666
NaN,24.1,1.9,181,29.525,-118.016666
33.7605135139231,25.2,1.94,200,29.525,-118.016666
NaN,25.7,1.98,216,29.525,-118.016666
NaN,28,2.12,245,29.525,-118.016666
33.8269694268603,28.3,2.15,250,29.525,-118.016666
NaN,31.2,2.42,295,29.525,-118.016666
33.9185074040141,31.5,2.45,300,29.525,-118.016666
NaN,34.3,2.72,350,29.525,-118.016666
34.1627730836905,35.9,2.89,400,29.525,-118.016666
NaN,36.8,2.98,433,29.525,-118.016666
34.4710110087612,39.1,3.15,500,29.525,-118.016666
34.5245135831569,39.6,3.18,516,29.525,-118.016666
34.5487568700053,41.2,3.3,598,29.525,-118.016666
33.842169362641,NaN,0.6,1,29.775,-116
33.8371522074675,NaN,0.26,10,29.775,-116
33.8371767146688,NaN,0.23,20,29.775,-116
NaN,NaN,0.2,29,29.775,-116
33.8392159334915,NaN,0.2,30,29.775,-116
33.8423003379711,NaN,0.26,39,29.775,-116
33.8524625378175,0.4,0.32,50,29.775,-116
NaN,0.5,0.34,52,29.775,-116
NaN,4.5,0.62,66,29.775,-116
33.8770002428902,8.5,0.92,75,29.775,-116
NaN,14,1.32,89,29.775,-116
33.9036930137963,15.3,1.35,100,29.775,-116
NaN,15.8,1.38,108,29.775,-116
33.9314632221107,18.1,1.53,125,29.775,-116
NaN,18.3,1.54,126,29.775,-116
NaN,21,1.72,144,29.775,-116
33.9612802814582,21.9,1.81,150,29.775,-116
NaN,24.5,2.08,170,29.775,-116
34.0257904818282,25.2,2.08,200,29.775,-116
NaN,25.2,2.08,202,29.775,-116
NaN,27.8,2.42,228,29.775,-116
34.0972797015187,28.1,2.4,250,29.775,-116
NaN,28.4,2.38,273,29.775,-116
34.1767676002287,29.4,2.53,300,29.775,-116
NaN,30.4,2.68,322,29.775,-116
NaN,33.9,3,400,29.775,-116
34.5389923951433,37.3,3.14,479,29.775,-116
34.5403570468265,37.9,3.15,500,29.775,-116
34.5472567057291,39.8,3.18,562,29.775,-116
33.8140363296912,NaN,0.64,0,29.608333,-116.325
33.8140459653574,NaN,0.26,11,29.608333,-116.325
33.8150727332054,0.1,0.26,20,29.608333,-116.325
NaN,0.1,0.26,30,29.608333,-116.325
NaN,NaN,0.2,39,29.608333,-116.325
33.8233252863529,1.1,0.35,50,29.608333,-116.325
NaN,1.9,0.44,54,29.608333,-116.325
